Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
375338,ALC Supplier (ALC),"Aristocrat Technologies Canada, Inc.",10220 ARISTOCRAT WA,LAS VEGAS NV 89135
389177,ALC Supplier (ALC),Pollard Banknote Limited,140 Otter Street,"WINNIPEG, MANITOBA  R3T 0M8"
376038,ALC Supplier (ALC),G Gaming Limited,KEMP HOUSE,152-160 CITY RD
376208,ALC Supplier (ALC),Eclipse Compliance Testing,6401 DAVIS INDUSTRIAL PARKWAY SUITE A,SOLON OH 44139
376243,ALC Supplier (ALC),Stanley Black & Decker Canada Corp.,8350 Sunlight Drive,"Fishers,   INDIANA  46037"
376457,ALC Supplier (ALC),Arrow Int. - Lottery Equipment Supplier,9900 CLINTON ROAD,"CLEVELAND, OHIO"
376998,ALC Supplier (ALC),Paysafe Merchant Services Inc.,700-3500 DE MAISONNEUVE BL W,MONTREAL PQ H3Z 3C1
377687,ALC Supplier (ALC),Sampdore Adventures Limited,"7 GRANARD BUSINESS CENTRE, MILL HILL","MILL HILL, LONDON ENGLAND NW7 2DQ"
377716,ALC Supplier (ALC),Openbet Technologies Limited,4TH FL BDG 9 566 CHISWICK HIG,"LONDON, UNITED KINGDOM  W4 5XT"
378133,ALC Supplier (ALC),Playzido Limited,SHEPHERDS BUILDING CENTRAL,CHARECROFT WA
378701,ALC Supplier (ALC),Gaming Laboratories International Inc.,600 AIRPORT ROAD,"LAKEWOOD, NEW JERSEY  08701"
379150,ALC Supplier (ALC),Okiok Data Ltd.,655 PROMENADE DU CENTROPOLIS SUITE 230,LAVAL PQ H7T 0AC
379463,ALC Supplier (ALC),MNP LLP,330 5 AVENUE SW SUITE 2000,CALGARY AB T3P 0L4
380294,ALC Supplier (ALC),NYX Digital Gaming (Alberta) Inc.,4300 BANKERS HALL WEST,888 3RD ST SW
380300,ALC Supplier (ALC),IGT UK Interactive Holdings Limited,10 FINSBURY SQUARE FLOOR 3,LONDON UNITED KINGDOM EC2A 1AF
380301,ALC Supplier (ALC),IGT US D&B (G) LLC,6355 SOUTH BUFFALO DR,LAS VEGAS NV 89119
380303,ALC Supplier (ALC),IGT Canada D&B ULC,328 URQUHART AV,MONCTON NB E1H 2R6
380473,ALC Supplier (ALC),Evolution Malta Limited,"SPINOLA PARK, LEVEL 1",MIKIEL ANG. BORG ST
380476,ALC Supplier (ALC),Instant Win Gaming Limited,3 OLD STREET YARD FLOOR 5,LONDON LONDON EC1Y 8AF
381150,ALC Supplier (ALC),Inspired Gaming (Holdings) Limited,107 STATION ST,"BURTON UPON TRENT, STAFFORDSHIRE   DE14 1SZ"
