id;equi_id;operadora;placa;cliente_id;modelo
1;807305869;ALGAR;GCK2E91;Vetorian;205
2;807305509;ALGAR;FVT1306;Vetorian;205
3;807169953;ALGAR;TES0002;Vetorian;203
4;807169962;ALGAR;TES0001;Vetorian;203
5;807304885;ALGAR;FZR5H66;José Moya;205
6;807304461;ALGAR;FUSCA78;Luis Claudio Gomes;205
7;200000002;ALGAR;TEL0001;Vetorian;208
8;807306683;ALGAR;CSN1B81;CSA Quality Solucoes Ambientais Ltda;5
9;807305047;ALGAR;DPL5G12;CSA Quality Solucoes Ambientais Ltda;5
10;807304912;ALGAR;GJL6B95;Toder Verpackung Embalagens LTDA;5
11;807304443;ALGAR;GHI2E27;Toder Verpackung Embalagens LTDA;5
12;807304428;ALGAR;GAW9I69;Toder Verpackung Embalagens LTDA;5
13;807305452;VIVO;FVD7G27;Sequencial Transportes;5
14;807385995;ALGAR;VET0002;Vetorian;96
15;807156147;VIVO;TGK0003;TAKAGAKI;206
16;807304419;ALGAR;IMP0008;Vetorian;203
17;807304872;ALGAR;SUZ0159;Vetorian;203
18;807304995;ALGAR;SUZ0160;Vetorian;203
19;807305508;ALGAR;SUZ0161;Vetorian;203
20;807304966;ALGAR;SUZ0164;Vetorian;203
21;807304430;ALGAR;SUZ0163;Vetorian;203
22;807304427;ALGAR;SUZ0162;Vetorian;203
23;807305882;ALGAR;SUZ0158;Vetorian;203
24;807306687;ALGAR;SUZ0143;Vetorian;203
25;807305009;ALGAR;SUZ0165;Vetorian;203
26;807169982;ALGAR;TES0003;Vetorian;203
27;807164838;ALGAR;QRF6H03;Suzano Mucuri;201
28;807169961;ALGAR;MTS5I53;Suzano Mucuri;201
29;511667943;ALGAR;HAR0002;Harano;5
30;807164799;ALGAR;SUZ0137;Suzano Mucuri;201
31;807169968;ALGAR;MSX8B06;Suzano Mucuri;201
32;807164803;ALGAR;ODN7G66;Suzano Mucuri;201
33;807169984;ALGAR;RBA5C91;Suzano Mucuri;201
34;807164798;ALGAR;PPN5H06;Suzano Mucuri;201
35;807169950;ALGAR;IMP0004;Vetorian;203
36;807169967;ALGAR;PJR9F85;Suzano Mucuri;201
37;807164802;ALGAR;SUZ0150;Vetorian;203
38;807164831;ALGAR;MSJ6635;Suzano Mucuri;201
39;807164801;ALGAR;PKH8D13;Suzano Mucuri;201
40;807164830;ALGAR;KQL7B57;Suzano Mucuri;201
41;807164800;ALGAR;NTX7E32;Suzano Mucuri;201
42;807164827;ALGAR;EPU0170;Suzano Mucuri;201
43;807164824;ALGAR;MRL1F12;Suzano Mucuri;201
44;807169946;ALGAR;MRL1F22;Suzano Mucuri;201
45;807164821;ALGAR;RBB9J96;Suzano Mucuri;201
46;807164796;ALGAR;ODL0B31;Suzano Mucuri;201
47;807170453;ALGAR;SUZ0141;Suzano Mucuri;201
48;807169971;ALGAR;OVJ7247;Suzano Mucuri;201
49;807169988;ALGAR;MRG9I43;Suzano Mucuri;201
50;807169954;ALGAR;SUZ0138;Suzano Mucuri;201
51;807169972;ALGAR;PPV8A19;Suzano Mucuri;201
52;807164841;ALGAR;MTA8375;Suzano Mucuri;201
53;807169976;ALGAR;PPB4D95;Suzano Mucuri;201
54;807170448;ALGAR;QRJ3H41;Suzano Mucuri;201
55;807169979;ALGAR;PPN5B64;Suzano Mucuri;201
56;807170447;ALGAR;QRH3A79;Suzano Mucuri;201
57;807169983;ALGAR;MTK2B86;Suzano Mucuri;201
58;807170450;ALGAR;AOE9J38;Suzano Mucuri;201
59;807164842;ALGAR;EHH8D05;Suzano Mucuri;201
60;807169989;ALGAR;QRC1315;Suzano Mucuri;201
61;807170446;VIVO;GEZ6G10;Eduardo Yuji Marubayashi;5
62;807169957;VIVO;KQL7158;Suzano Mucuri;201
63;807164811;ALGAR;QRE6G51;Suzano Mucuri;201
64;807164807;ALGAR;MTS9I20;Suzano Mucuri;201
65;807169951;ALGAR;MSX1262;Suzano Mucuri;201
66;807164823;ALGAR;RCR0C81;Suzano Mucuri;201
67;807164839;ALGAR;GZG2136;Suzano Mucuri;201
68;807169992;ALGAR;OVL6E11;Suzano Mucuri;201
69;807170445;ALGAR;MWO3986;Suzano Mucuri;201
70;807169965;ALGAR;SUZ0166;Vetorian;203
71;807164835;ALGAR;RQT7C97;Suzano Mucuri;201
72;807169959;ALGAR;ODR3C00;Suzano Mucuri;201
73;807164834;ALGAR;RQS0F97;Suzano Mucuri;201
74;807164805;ALGAR;HKM2636;Suzano Mucuri;201
75;807170452;ALGAR;ODH9F73;Suzano Mucuri;201
76;807164836;ALGAR;QTU8D51;Suzano Mucuri;201
77;807170444;ALGAR;MQV9H47;Suzano Mucuri;201
78;807169980;ALGAR;MTM6A45;Suzano Mucuri;201
79;807169964;ALGAR;OVF5535;Suzano Mucuri;201
80;807169969;ALGAR;OBF2H85;Suzano Mucuri;201
81;807164840;ALGAR;QRF3A93;Suzano Mucuri;201
82;807164832;ALGAR;MTG0148;Suzano Mucuri;201
83;807170451;ALGAR;MTH7H79;Suzano Mucuri;201
84;807164797;ALGAR;RBB4E22;Suzano Mucuri;201
85;807164822;ALGAR;MTA8381;Suzano Mucuri;201
86;807164812;ALGAR;ODB7444;Suzano Mucuri;201
87;807169990;ALGAR;RQP9H23;Suzano Mucuri;201
88;807164818;ALGAR;PPL8G79;Suzano Mucuri;201
89;807164795;ALGAR;OXQ1H39;Suzano Mucuri;201
90;807164829;ALGAR;PPA9E82;Suzano Mucuri;201
91;807169970;ALGAR;QPM7D46;Suzano Mucuri;201
92;807169958;ALGAR;ODF3676;Suzano Mucuri;201
93;807169986;ALGAR;MTR2406;Suzano Mucuri;201
94;807164794;ALGAR;AKG0E20;Suzano Mucuri;201
95;807169977;ALGAR;MTK2086;Suzano Mucuri;201
96;807164806;ALGAR;HEH6I38;Suzano Mucuri;201
97;807164828;ALGAR;EHH8D55;Suzano Mucuri;201
98;807164837;ALGAR;CVN9370;Suzano Mucuri;201
99;807164820;ALGAR;ODG1B58;Suzano Mucuri;201
100;807164826;ALGAR;ASR3H07;Suzano Mucuri;201
101;807169991;ALGAR;ODN7G31;Suzano Mucuri;201
102;807169944;ALGAR;ODH9F68;Suzano Mucuri;201
103;807169974;ALGAR;MSX8B01;Suzano Mucuri;201
104;807169978;ALGAR;MTG0B28;Suzano Mucuri;201
105;807169947;ALGAR;AZM1F81;Suzano Mucuri;201
106;807169987;ALGAR;ODB7F87;Suzano Mucuri;201
107;807169956;ALGAR;MSY3E48;Suzano Mucuri;201
108;807164817;ALGAR;AWC2H37;Suzano Mucuri;201
109;807164843;ALGAR;MSX8B05;Suzano Mucuri;201
110;807169975;ALGAR;MTT0E16;Suzano Mucuri;201
111;807169963;ALGAR;AWC2H23;Suzano Mucuri;201
112;807169945;ALGAR;CLH3H51;Suzano Mucuri;201
113;807164816;ALGAR;LOI8186;Suzano Mucuri;201
114;807170449;ALGAR;PPA5607;Suzano Mucuri;201
115;807169952;ALGAR;PPN5A72;Suzano Mucuri;201
116;807169960;ALGAR;MTA6H73;Suzano Mucuri;201
117;807169949;ALGAR;KQL7B56;Suzano Mucuri;201
118;807164819;ALGAR;ILW6F67;Suzano Mucuri;201
119;807164804;ALGAR;OYK5662;Suzano Mucuri;201
120;807169955;ALGAR;PPT4E89;Suzano Mucuri;201
121;807169981;ALGAR;OYD2H74;Suzano Mucuri;201
122;807164814;ALGAR;PPT7491;Suzano Mucuri;201
123;807169966;ALGAR;PPL6E77;Suzano Mucuri;201
124;807169973;ALGAR;PPT4D34;Suzano Mucuri;201
125;807164810;ALGAR;MTD4E18;Suzano Mucuri;201
126;807169985;ALGAR;MTK2116;Suzano Mucuri;201
127;807164808;ALGAR;MTQ0B49;Suzano Mucuri;201
128;807164825;ALGAR;MTN2297;Suzano Mucuri;201
129;807164815;ALGAR;MTQ0173;Suzano Mucuri;201
130;807169993;ALGAR;MTD4423;Suzano Mucuri;201
131;807164813;ALGAR;PPM8J08;Suzano Mucuri;201
132;807169948;ALGAR;MSZ6637;Suzano Mucuri;201
133;807164809;ALGAR;GWI0C97;Suzano Mucuri;201
134;807164833;ALGAR;MTW9G07;Suzano Mucuri;201
135;511850470;ALGAR;QBZ8E42;Suzano Mucuri;201
136;511850467;ALGAR;MTV4J16;Suzano Mucuri;201
137;511850976;ALGAR;MRG9939;Suzano Mucuri;201
138;511850921;ALGAR;ODF0B22;Suzano Mucuri;201
139;511850902;ALGAR;FNT1G21;Suzano Mucuri;201
140;511850909;ALGAR;MTY2J62;Suzano Mucuri;201
141;511849859;ALGAR;EHH8C93;Suzano Mucuri;201
142;511850778;ALGAR;MTN8H16;Suzano Mucuri;201
143;511850889;ALGAR;PPP3C70;Suzano Mucuri;201
144;511850975;ALGAR;MTQ6A52;Suzano Mucuri;201
145;511850363;ALGAR;GXH1B35;Suzano Mucuri;201
146;511850482;ALGAR;MTA6H80;Suzano Mucuri;201
147;511849883;ALGAR;PPN5B14;Suzano Mucuri;201
148;511850043;ALGAR;QRC1G94;Suzano Mucuri;201
149;511850362;;GZG2C46;Suzano Mucuri;201
150;511850943;ALGAR;MOT0805;Suzano Mucuri;201
151;511850965;ALGAR;CUD8716;Suzano Mucuri;201
152;511850231;ALGAR;MQC5731;Suzano Mucuri;201
153;511850858;ALGAR;ODL0B14;Suzano Mucuri;201
154;511850906;ALGAR;MTU3E64;Suzano Mucuri;201
155;511849874;ALGAR;MQV9327;Suzano Mucuri;201
156;511850956;ALGAR;KEF7F92;Suzano Mucuri;201
157;511850400;ALGAR;OVL7E72;Suzano Mucuri;201
158;511850359;ALGAR;MTB0B97;Suzano Mucuri;201
159;511850230;ALGAR;QAG7630;Suzano Mucuri;201
160;511850351;ALGAR;PPN5B72;Suzano Mucuri;201
161;511850054;ALGAR;GVQ9369;Suzano Mucuri;201
162;511850423;ALGAR;EHH8968;Suzano Mucuri;201
163;511850415;ALGAR;MTK1I46;Suzano Mucuri;201
164;511850840;ALGAR;MTK1I56;Suzano Mucuri;201
